"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2022-08-05"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-04-07"
"config.yaml" "4fa17b173018d22b051b9d2dcf485b14" "site/built/config.yaml" "2024-02-25"
"index.md" "9bd822e8d179993439f9f83e22ebaa61" "site/built/index.md" "2024-02-29"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2022-04-22"
"episodes/introduction.md" "155225007b0582cc1152a7de96ee429f" "site/built/introduction.md" "2024-04-07"
"episodes/voyant.md" "46bf0df544c57bb7d1227c0c41d44681" "site/built/voyant.md" "2024-04-07"
"episodes/spacy.md" "e25d4bca5421bb320168735e972cdfa7" "site/built/spacy.md" "2024-04-05"
"episodes/pandas.md" "ff06c11bf74c373c99b49ed8f3d3cd6a" "site/built/pandas.md" "2024-04-07"
"episodes/embeddings.md" "4b9448da159603546d869744b291a34e" "site/built/embeddings.md" "2024-04-07"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2023-03-16"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2023-03-16"
"learners/setup.md" "61568b36c8b96363218c9736f6aee03a" "site/built/setup.md" "2023-04-07"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2022-04-22"
